GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
university-system,university,Main,7,0,0,0,3,0,2,0,2,0
university-system,university.service,TeacherFactory,13,0,0,0,2,0,2,0,2,0
university-system,university.service,PrerequisiteValidator,0,7,0,0,0,2,0,2,0,2
university-system,university.service,AdministratorFactory,12,0,0,0,2,0,2,0,2,0
university-system,university.service,GPAService,0,36,0,0,0,11,0,5,0,5
university-system,university.service,ScheduleService,0,13,0,0,0,3,0,3,0,3
university-system,university.service,GradeCalculator,0,12,0,0,0,4,0,2,0,2
university-system,university.service,StudentFactory,10,0,0,0,2,0,2,0,2,0
university-system,university.service,AverageGradingStrategy,2,30,1,3,0,7,1,3,0,2
university-system,university.service,EnrollmentService,8,114,4,8,5,23,5,9,1,7
university-system,university.domain,Teacher,19,0,0,0,6,0,3,0,3,0
university-system,university.domain,Enrollment,10,26,0,0,4,9,3,4,3,4
university-system,university.domain,Advisor,13,0,0,0,4,0,2,0,2,0
university-system,university.domain,Administrator,13,0,0,0,4,0,2,0,2,0
university-system,university.domain,Course,12,43,0,0,4,14,4,5,4,5
university-system,university.domain,AcademicRecord,11,0,0,0,4,0,2,0,2,0
university-system,university.domain,Student,13,27,0,0,4,10,3,5,3,5
university-system,university.domain,Assessment,21,0,0,0,8,0,4,0,4,0
university-system,university.domain,Schedule,3,37,1,5,1,7,2,4,1,2
university-system,university.domain,Grade,3,12,0,0,1,5,1,2,1,2
university-system,university.domain,User,37,0,4,0,11,0,6,0,4,0
